VARIABLES = "X", "Y", "xhi_csi", "xhi_eta", "xhj_csi", "xhj_eta", "JacobianHi", "JacobianHj"
ZONE I=161, J=60, F=POINT
19.996659 6.334848 1.543221 0.001196 0.471857
18.612483 5.883073 1.789289 0.001334 0.507312
17.326755 5.463559 2.074551 0.001496 0.588012
16.132480 5.073990 2.405261 0.001689 0.681552
15.023157 4.712217 2.788663 0.001918 0.789971
13.992746 4.376248 3.233148 0.002191 0.915637
13.035637 4.064234 3.748485 0.002519 1.061295
12.146619 3.774459 4.345949 0.002907 1.230124
11.320849 3.505331 5.038632 0.003372 1.425812
10.553832 3.255375 5.841780 0.003913 1.652637
9.841391 3.023220 6.772979 0.004547 1.915557
9.179645 2.807596 7.852777 0.005289 2.220316
8.564992 2.607321 9.104838 0.006124 2.573589
7.994084 2.421302 10.556710 0.007077 2.983112
7.463814 2.248523 12.240353 0.008096 3.457858
6.971293 2.088042 14.192913 0.009204 4.008247
6.513842 1.938985 16.457591 0.010255 4.646364
6.088969 1.800540 19.083926 0.011142 5.386245
5.694362 1.671957 22.130331 0.011599 6.244216
5.327873 1.552536 25.663324 0.011389 7.239198
4.987506 1.441633 29.761641 0.009845 8.393217
4.671410 1.338648 34.515201 0.005957 9.731906
4.377862 1.243026 40.028598 -0.001270 11.285058
4.105265 1.154253 46.422310 -0.013870 13.087389
3.852134 1.071852 53.836482 -0.034379 15.179319
3.617092 0.995383 62.431720 -0.067618 17.608062
3.398858 0.924434 72.389500 -0.118114 20.428635
3.196244 0.858627 83.921244 -0.194601 23.705492
3.008148 0.797606 97.264160 -0.306403 27.513939
2.833547 0.741040 112.686047 -0.468128 31.942021
2.671493 0.688613 130.478493 -0.694708 37.093548
2.521110 0.640028 150.973224 -1.006274 43.090279
2.381587 0.594993 174.531544 -1.418539 50.075648
2.252178 0.553225 201.561552 -1.947903 58.218833
2.132195 0.514443 232.523987 -2.596738 67.720745
2.021011 0.478363 267.957011 -3.350534 78.819929
1.918047 0.444707 308.593858 -4.163099 91.800483
1.822777 0.413201 355.388834 -4.964010 107.004322
1.734715 0.383587 409.641553 -5.646487 124.842422
1.653411 0.355635 473.264906 -6.090288 145.814083
1.578445 0.329150 548.648084 -6.191978 170.529595
1.509419 0.303985 639.050470 -5.888103 199.742391
1.445956 0.280036 748.516999 -5.188093 234.386100
